Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,14.430000,15.400000,12.700000,13.430000,12.661017,193396500
2013-03-01,13.370000,17.430000,13.320000,16.969999,15.998325,187166700
2013-04-01,17.020000,17.129999,15.030000,16.900000,15.932330,152135500
2013-05-01,16.910000,19.700001,16.600000,17.570000,16.563969,127394000
2013-06-01,17.540001,18.200001,15.590000,16.420000,15.479816,104045500
2013-07-01,16.500000,19.490000,16.040001,19.350000,18.242050,117959400
2013-08-01,19.440001,19.590000,15.280000,16.160000,15.234702,218655000
2013-09-01,16.379999,19.480000,16.110001,18.959999,17.874378,90979900
2013-10-01,18.980000,23.160000,18.980000,21.969999,20.712029,125759100
2013-11-01,22.040001,25.490000,21.600000,23.480000,22.135569,245060000
2013-12-01,23.549999,27.200001,21.450001,25.250000,23.804224,326931400
2014-01-01,25.070000,34.200001,25.059999,33.549999,31.628979,290291800
2014-02-01,33.950001,37.279999,33.049999,36.930000,34.815441,197511500
2014-03-01,36.169998,39.880001,35.020000,36.599998,34.504345,194519600
2014-04-01,36.950001,38.900002,31.860001,35.070000,33.061939,256325500
2014-05-01,35.860001,40.330002,35.470001,40.160000,37.860497,193159300
2014-06-01,40.000000,44.880001,38.849998,42.959999,40.500175,335502400
2014-07-01,43.439999,44.000000,37.900002,38.849998,36.625504,265201400
2014-08-01,38.750000,41.000000,35.230000,38.880001,36.746704,178929000
2014-09-01,39.000000,40.540001,34.340000,35.480000,33.533245,200541700
2014-10-01,34.720001,41.750000,28.100000,41.349998,39.081177,473677700
2014-11-01,41.439999,49.450001,41.430000,48.529999,45.982346,222774700
2014-12-01,49.000000,54.639999,46.049999,53.630001,50.814610,314636000
2015-01-01,54.279999,56.200001,48.099998,49.080002,46.503475,276810300
2015-02-01,48.580002,52.200001,45.950001,47.900002,45.385418,208335500
2015-03-01,48.200001,56.049999,46.470001,52.779999,50.110554,396784200
2015-04-01,51.099998,53.470001,46.880001,48.290001,45.847645,235685400
2015-05-01,48.650002,50.299999,41.320000,42.369999,40.309525,256703000
2015-06-01,42.610001,44.380001,38.450001,39.939999,37.997696,301070200
2015-07-01,40.650002,43.810001,37.799999,40.099998,38.149914,256056700
2015-08-01,40.240002,44.450001,34.099998,38.980000,37.084381,216640500
2015-09-01,38.630001,44.590000,37.720001,38.830002,37.027866,221863000
2015-10-01,38.500000,46.770000,37.419998,46.220001,44.074886,232605200
2015-11-01,46.200001,47.090000,40.450001,41.259998,39.345085,138396700
2015-12-01,41.470001,46.490002,40.700001,42.349998,40.471592,170635500
2016-01-01,41.290001,42.740002,36.200001,38.990002,37.260624,237116300
2016-02-01,39.000000,41.599998,34.759998,41.000000,39.181465,184042100
2016-03-01,41.439999,43.779999,40.049999,41.009998,39.297962,164027400
2016-04-01,40.130001,41.759998,34.099998,34.689999,33.241798,206583200
2016-05-01,34.990002,35.169998,30.990000,31.910000,30.577856,204486800
2016-06-01,31.940001,33.580002,24.850000,28.309999,27.206572,274246800
2016-07-01,28.260000,36.740002,27.120001,35.500000,34.116329,248242900
2016-08-01,35.540001,37.349998,33.000000,36.299999,34.885143,181408000
2016-09-01,36.529999,39.520000,33.900002,36.610001,35.288372,162097000
2016-10-01,36.459999,40.930000,36.330002,40.599998,39.134327,176374300
2016-11-01,40.509998,47.139999,39.240002,46.439999,44.763512,148407700
2016-12-01,46.200001,50.639999,45.580002,46.689999,45.118103,122809500
2017-01-01,47.279999,50.000000,43.740002,44.250000,42.760246,147225500
2017-02-01,44.750000,48.049999,43.570000,46.360001,44.799210,110360400
2017-03-01,46.790001,48.139999,39.209999,42.299999,40.966808,177943800
2017-04-01,42.330002,47.389999,40.820000,42.619999,41.276722,136320900
2017-05-01,42.759998,48.820000,42.009998,48.410000,46.884243,130914100
2017-06-01,48.500000,51.950001,48.009998,50.320000,48.838985,133266700
2017-07-01,50.779999,54.480000,48.730000,50.439999,48.955452,111659200
2017-08-01,51.130001,52.000000,42.669998,44.740002,43.423210,122959600
2017-09-01,44.849998,48.599998,42.610001,47.490002,46.185772,131313700
2017-10-01,47.520000,53.740002,46.790001,46.820000,45.534164,118566100
2017-11-01,48.000000,51.160000,45.270000,50.490002,49.103378,73187100
